greedy     evap       t_max      max_diff   avg_diff   mid_diff  
0.90       0.75       100        1341.00    475.30     509.50    
0.10       0.90       100        2251.00    1256.00    1408.50   
0.25       0.90       100        1656.00    641.20     693.00    
0.50       0.90       100        1309.00    542.60     566.50    
0.75       0.90       100        1347.00    658.30     638.00    
0.90       0.90       100        1339.00    598.00     636.00    
0.10       0.10       200        6732.00    4498.80    4234.00   
0.25       0.10       200        6213.00    2637.70    2275.00   
0.50       0.10       200        2438.00    1075.10    1118.50   
0.75       0.10       200        1023.00    452.90     383.00    
0.90       0.10       200        636.00     101.90     0.00      
0.10       0.25       200        7573.00    4317.90    3851.00   
0.25       0.25       200        6338.00    3185.20    3078.00   
0.50       0.25       200        2364.00    1089.90    829.50    
0.75       0.25       200        383.00     76.60      0.00      
0.90       0.25       200        383.00     114.90     0.00      
0.10       0.50       200        8883.00    4633.20    4151.50   
0.25       0.50       200        3917.00    2796.20    2895.00   
0.50       0.50       200        1857.00    834.30     821.50    
0.75       0.50       200        897.00     472.90     383.00    
0.90       0.50       200        0.00       0.00       0.00      
0.10       0.75       200        6478.00    4693.30    4610.00   
0.25       0.75       200        3807.00    2066.60    2465.00   
0.50       0.75       200        1472.00    464.70     383.00    
0.75       0.75       200        964.00     337.30     191.50    
0.90       0.75       200        383.00     38.30      0.00      
0.10       0.90       200        1861.00    948.60     829.50    
0.25       0.90       200        1341.00    574.00     638.00    
0.50       0.90       200        1343.00    324.20     191.50    
0.75       0.90       200        964.00     362.60     191.50    
0.90       0.90       200        1341.00    381.10     191.50    
